2018-12-20 23:31:52,111 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7cd62f43: startup date [Thu Dec 20 23:31:52 BRST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-12-20 23:31:53,157 | INFO  | PListStore:[C:\Users\mathe\Downloads\apache-activemq-5.12.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-12-20 23:31:53,193 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\mathe\Downloads\apache-activemq-5.12.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-12-20 23:31:53,435 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:DESKTOP-AJIRLHH-50402-1545355913306-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-12-20 23:31:53,458 | INFO  | Listening for connections at: tcp://DESKTOP-AJIRLHH:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-12-20 23:31:53,460 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-12-20 23:31:53,465 | INFO  | Listening for connections at: amqp://DESKTOP-AJIRLHH:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-12-20 23:31:53,469 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-12-20 23:31:53,476 | INFO  | Listening for connections at: stomp://DESKTOP-AJIRLHH:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-12-20 23:31:53,480 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-12-20 23:31:53,489 | INFO  | Listening for connections at: mqtt://DESKTOP-AJIRLHH:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-12-20 23:31:53,492 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-12-20 23:31:53,667 | INFO  | Listening for connections at ws://DESKTOP-AJIRLHH:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-12-20 23:31:53,668 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-12-20 23:31:53,671 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:DESKTOP-AJIRLHH-50402-1545355913306-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-12-20 23:31:53,674 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-12-20 23:31:54,103 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-12-20 23:31:54,105 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-12-20 23:31:54,177 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-12-20 23:31:54,574 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-12-20 23:34:21,438 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:DESKTOP-AJIRLHH-50402-1545355913306-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-12-20 23:34:21,441 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2018-12-20 23:34:21,443 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2018-12-20 23:34:21,444 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2018-12-20 23:34:21,446 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2018-12-20 23:34:21,511 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2018-12-20 23:34:21,516 | INFO  | PListStore:[C:\Users\mathe\Downloads\apache-activemq-5.12.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2018-12-20 23:34:21,517 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-12-20 23:34:21,518 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-12-20 23:34:21,520 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-12-20 23:34:21,891 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:DESKTOP-AJIRLHH-50402-1545355913306-0:1) uptime 2 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-12-20 23:34:22,061 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:DESKTOP-AJIRLHH-50402-1545355913306-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-12-20 23:34:22,065 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@7cd62f43: startup date [Thu Dec 20 23:31:52 BRST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2018-12-20 23:34:22,081 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
